net_id,delay,majority,disease,predator,overlap,agent,mixing,path,paint
143,1.48717311762348,3.41668578825533,32.923832,0.7669935,0.820281068376075,3.49836896802919,123.995830934203,103.689504581778,129.413161004793
144,1.49977646841962,3.54518112337956,32.985044,0.7665976,0.874959358974372,3.50296534426062,126.795682819052,107.184628773764,130.565734368416
145,1.45163341619838,3.54231895465244,31.861196,0.7605126,0.864636452991467,3.38777208488703,122.702647026382,100.716925524195,126.372459091376
146,1.32458628314214,3.19623054712726,30.427384,0.75466885,0.725938846153842,3.27104929480147,107.255005089951,86.0947469097002,116.006894114007
147,1.51264395316466,3.5324859126028,32.832056,0.7664442,0.843292905982914,3.48858172983598,126.016004693346,104.929427353309,130.074669703828
148,1.35011879348134,3.41078051093914,29.847624,0.74560715,0.728631965811965,3.16232317245581,109.496731659156,83.4249046158156,115.008834299754
149,1.22499979093687,3.22558037838016,29.541612,0.7455032,0.69494273504273,3.16716629250152,105.579904239904,80.1971015155027,112.378669615999
150,1.49494696569605,3.45894810236586,32.01238,0.76104345,0.816100811965818,3.38830002300653,121.787561021731,99.5325096181962,126.536446490614
151,1.58123940273329,3.55520539103981,33.064184,0.7672935,0.891287222222237,3.5098668834491,127.71274879676,108.803044789896,131.311294341218
152,1.51864383365144,3.55537347314153,32.917956,0.7662482,0.883112948717963,3.48791684646509,126.952765894403,107.310097950827,130.632959745203
153,1.51843066372116,3.55648202108693,33.1501,0.76734295,0.894747606837622,3.51216451350536,127.8164294214,108.861785462514,131.420088507431
154,1.30883838143964,3.17901910521366,30.656448,0.75294125,0.763868504273507,3.32104291169302,110.753796631944,89.4361131562958,117.72986119699
155,1.47849251996135,3.55593275660802,32.134932,0.76275215,0.880593290598303,3.38596965480946,124.078176504217,101.493178474429,127.740970183583
156,1.43926184451875,3.29656454768654,32.631532,0.7655472,0.785795811965821,3.47037882152915,119.122699196139,99.8229269477691,126.651850951203
157,1.49510257344377,3.53283567147557,33.09854,0.7674298,0.862861025641037,3.51029088486242,126.779252945051,107.630120337406,130.825931134647
158,1.52647819932715,3.55587597339871,32.914988,0.7657749,0.885393760683775,3.48730762746919,127.065029371574,107.232855159623,130.736172051599
159,1.4916913061645,3.55664928185903,33.085192,0.76668895,0.893770641025654,3.5095839601365,127.639409834701,108.524737479863,131.239138447107
160,1.49799383420335,3.53862237415855,33.121276,0.76666835,0.865400726495737,3.51337094065014,127.174226006976,108.251150451529,131.005352267553
161,1.35070061989095,3.49203347296113,30.776964,0.75558415,0.79593350427351,3.30109105759521,116.840146071843,93.3757302413425,121.007364814523
162,1.55499928301229,3.55521701907301,33.090592,0.76748465,0.889771965811981,3.51300567096537,127.706119830822,108.924930619273,131.342782607821
163,1.43071090711809,3.51886445389087,32.761848,0.766031,0.832929914529922,3.47405157801683,125.123036778055,104.87519888024,129.511485011457
164,1.46379546479016,3.47138842419443,32.24994,0.76533545,0.790202008547014,3.41357316116367,122.693830743526,96.3838199512405,127.859716344696
165,1.47398508259008,3.5376639554631,31.473676,0.758235,0.848105341880355,3.35021309672017,120.605737065051,97.7970883552903,124.333073268743
166,1.49074925726786,3.51765816710252,31.7658,0.76154325,0.8056773931624,3.293178440838,121.259600851778,94.054185062213,126.16388032514
167,1.47280951758194,3.51296388029,32.603248,0.7652638,0.841107393162403,3.43118375855199,124.295376558535,101.684527529941,129.078512022406
168,1.3889297571645,3.45630380222077,29.779404,0.743811,0.806949914529922,3.23825829328128,111.308260138761,88.6197777436624,114.947578898917
169,1.49045094010574,3.54628189860348,32.760344,0.76572025,0.855993974358986,3.45433275370768,126.092002693605,104.487826017841,129.994483916959
170,1.37668627387343,3.53140870844832,30.324708,0.75209915,0.838886923076933,3.20427845755338,116.280276309868,90.3629682604094,119.889530043072
171,1.47777128406341,3.50559964892304,31.04366,0.75352415,0.859253504273516,3.30845435014644,118.085227279795,94.8514298847605,121.516422449096
172,1.4557678852217,3.56165136023549,31.928128,0.761417,0.859547051282063,3.32363768978597,123.512814437793,98.6611180770773,127.446351264901
173,1.51325480645274,3.54718168432529,33.000216,0.76721595,0.869533675213689,3.50011850341301,127.064506293566,107.190241060244,130.794179090649
174,1.1688305520457,3.36250753543612,26.922872,0.72175035,0.777648205128207,2.9482678938937,97.7355006879503,72.3917997219852,100.351789186074
175,1.35269132114533,3.21904614216419,30.572536,0.7488639,0.733472692307691,3.2744934755209,109.377146436247,87.3917758872172,116.474712837569
176,1.52906763730784,3.55166203588644,32.4767,0.76419285,0.868361324786337,3.43368705547248,125.417088357868,103.926029109501,129.153791812992
177,1.44538665237814,3.52601231551215,30.8893,0.7533899,0.836402948717958,3.29106811906168,117.876077351992,94.17318092087,121.592858845375
178,1.54732865376306,3.55726508962112,33.123628,0.76717405,0.893433632478648,3.51357948641267,127.778798948273,108.836947426705,131.356874628903
179,1.38003282291176,3.2564115339059,31.346764,0.76295495,0.751792820512819,3.33888344214284,114.974190728539,89.6263231126631,122.645552024392
180,1.49557299507847,3.54258822408401,32.73796,0.76521135,0.859757222222234,3.46697163782218,126.093930274417,105.427038936458,129.98251436602
181,1.44685771222782,3.55458128749633,31.68868,0.759494,0.863678803418815,3.32877427272953,122.430644536752,97.9924527698262,126.177154795618
182,1.46132765349182,3.3788848054665,32.40198,0.76293855,0.809057521367529,3.43804660762154,121.501314649539,101.558709156487,127.157395899974
183,1.47500664357482,3.40727354168841,32.811888,0.76642485,0.83430188034189,3.49713622111865,122.757955796536,104.053752671789,128.638573880182
184,1.46777094771541,3.55250265673393,32.251816,0.76311025,0.871152863247874,3.40184643327113,124.550986865695,102.192072572534,128.284656617276
185,1.48737119080437,3.55418351749423,31.924256,0.7614221,0.828953119658129,3.32126127474645,123.248157405639,97.5277270097795,127.475338554651
186,1.31816298092331,3.32951810968852,30.328532,0.7515615,0.717034786324781,3.18675941613224,110.053867730802,82.8465929748979,116.710811117898
187,1.52495318604893,3.56174829380328,32.358948,0.7633626,0.879847692307705,3.3978563948934,125.147037916488,102.370479282957,128.894938540467
188,1.49825327384998,3.55163735919522,32.854924,0.7656689,0.872795982905996,3.48443656234243,126.65960649754,106.906242401919,130.401056530357
189,1.49201433421659,3.52859936374411,33.09092,0.7675292,0.855227094017106,3.50978250069858,126.536163707879,107.480226419173,130.634051238381
